Nazwa,Ticker,Kwartały,Data,Przychody ze sprzedaży,Zysk ze sprzedaży,Zysk operacyjny (EBIT),Zysk z działalności gospodarczej,Zysk przed opodatkowaniem,Zysk netto,EBITDA
06MAGNA,06N,2005/Q4,2006-02-14,-9702.0,-283.0,-283.0,-2457.0,-2457.0,-785.0,
06MAGNA,06N,2006/Q4,2007-03-01,-16331.0,-25673.0,-25695.0,-25695.0,-25695.0,2235.0,
06MAGNA,06N,2007/Q4,2009-04-02,605.0,17.0,119.0,119.0,119.0,-6439.0,
06MAGNA,06N,2008/Q4,2010-03-22,63918.0,-695.0,-1423.0,-143.0,-143.0,1149.0,
06MAGNA,06N,2009/Q4,2011-03-21,33865.0,148.0,-191.0,-195.0,-195.0,50.0,
06MAGNA,06N,2010/Q4,2011-03-21,16452.0,-6104.0,-23772.0,-24358.0,-24358.0,-24064.0,
06MAGNA,06N,2011/Q4,2012-03-20,18093.0,-1278.0,-2768.0,-4850.0,-4850.0,-4799.0,
06MAGNA,06N,2012/Q4,2013-03-21,-2196.0,-4665.0,-4368.0,-1850.0,-1850.0,-1052.0,
06MAGNA,06N,2013/Q4,2014-11-14,0.0,-3496.0,-3515.0,9464.0,9464.0,5906.0,
06MAGNA,06N,2014/Q4,2016-03-18,1065.0,-1742.0,-2174.0,-4785.0,-4785.0,-4251.0,
06MAGNA,06N,2016/Q4,2017-04-28,323.0,-1080.0,-1102.0,-24448.0,-24448.0,-24285.0,
06MAGNA,06N,2017/Q4,2018-04-27,1956.0,-872.0,-493.0,2531.0,2531.0,2525.0,
06MAGNA,06N,2018/Q4,2019-04-11,2005.0,-367.0,-350.0,-5321.0,-5321.0,-4508.0,
06MAGNA,06N,2019/Q4,2020-04-16,1298.0,-868.0,-87.0,563.0,563.0,404.0,
06MAGNA,06N,2020/Q4,2021-04-26,4130.0,1394.0,2832.0,2966.0,2966.0,1777.0,
06MAGNA,06N,2021/Q4,2022-04-28,2130.0,-280.0,379.0,523.0,523.0,592.0,
06MAGNA,06N,2022/Q4,2023-04-20,1876.0,-369.0,-457.0,4.0,4.0,794.0,
06MAGNA,06N,2023/Q4,2024-04-22,2215.0,-698.0,-4289.0,-2674.0,-2674.0,-1910.0,
06MAGNA,06N,2024/Q4,2025-04-25,6111.0,-937.0,-897.0,166.0,166.0,341.0,
3RGAMES,3RG,2011/Q4,2012-04-30,2892.0,1287.0,1269.0,1289.0,1289.0,1043.0,
3RGAMES,3RG,2012/Q4,2013-03-21,3291.0,551.0,-9128.0,-8908.0,-8908.0,-8699.0,
3RGAMES,3RG,2013/Q4,2014-03-21,3376.0,62.0,-52.0,-128.0,-128.0,-141.0,
3RGAMES,3RG,2014/Q4,2015-03-23,3178.0,-806.0,-865.0,-857.0,-857.0,-737.0,
3RGAMES,3RG,2015/Q4,2016-03-21,4974.0,-657.0,-1557.0,-1606.0,-1606.0,-1467.0,
